
Skidays Activity Report

Days.	Vertical	Lifts	Lift KM	Slope Distance

1	3077		11	10	14
2	2789		10	9	16
3	3515		12	11	16
4	4942		17	21	28
5	2744		10	9	12
6	2901		12	9	12

Totals:	19968		72	69	98

Avg:	3328		12	12	16
Min:	2744		10	9	12
Max:	4942		17	21	28

